id	filename	md5	size	state
9ca554fe-cc6c-48c6-9d38-9a0e596b11b7	APOLLO-LUAD.d69cd477-d499-4a28-a542-c72bd14fea47.wgs.varscan2.raw_somatic_mutation.vcf.gz	cd7410da6c14418d9a93b4115620d525	2803672	released
c82724c0-b8b5-47c0-af0c-3a5328fb7341	APOLLO-LUAD.c5e14a72-6e42-4aa3-b962-950ae54a53bb.arriba.rna_fusion.tsv	d30e45224a6a887192301a89dbd2d896	6572	released
0630b979-f8c9-42b9-9456-dad937cb35e6	255c0e03-9f5d-4004-867b-785276c9f206.wgs.gatk4.copy_number_variation.supplementary.tar.gz	944a5675cf5e03934ae445c36b581cc5	282244443	released
4129f7c3-6eb6-4ec1-b552-1c4bf5b0cf3b	APOLLO-LUAD.494ed9f2-b909-407b-8ad4-460f2bcf7a22.arriba.rna_fusion.tsv	23e4c259158f90784793d1641732833c	16005	released
5f1d64ef-8120-4c8f-924b-c1165c057939	79c2017e-8e8b-46eb-ac34-54eead82dd98.wgs.gatk4.copy_number_variation.supplementary.tar.gz	5860e562c38e14f0d867df56be18e5c5	281611023	released
97672720-3d70-4242-938a-ed65f769d6d6	51bbf8f7-8c63-4fac-832b-b52e6f484b9a.wgs.gatk4.copy_number_variation.supplementary.tar.gz	95089874ffbd010a9e88835ce5392657	282269633	released
8c5dd52b-42f0-43ce-8c9b-fb6b4a364c73	O.raw_somatic_mutation.vcf.gz	44858e7a70417636fb75e6aafe2c7cc8	1639597	released
cc363d29-83c1-4524-a441-8afbc8bdf69a	3b00356a-e947-42f1-8b5f-6dcd789d9272.rna_seq.star_splice_junctions.tsv.gz	8de88ae08e1dd2db1dcc050ba0d739db	3269324	released
40a6140a-90e1-4575-9025-2a99980eda12	d72a6695-5245-40a7-b716-13fef7c4ced1_wgs_gdc_realn.bam	e3c1d48a77bd764198cac2d994dd9cc7	195486400826	released
660e4dd2-a9bf-46a5-8ae5-1559ed6638f5	7db794c0-3922-4e19-9faf-4c104f5f410d.wgs.CaVEMan.raw_somatic_mutation.vcf.gz	516f169b8a9e598417824f151c414dba	23676485	released
