"CRUK0516_SU_T1.R1","CRUK0516_SU_T1.R2","CRUK0516_SU_T1.R3","CRUK0516_SU_T1.R4","CRUK0516_SU_T1.R5","CRUK0516_SU_T1.R6","CRUK0516_SU_T1.R7","CRUK0516_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","clonal","clonal","subclonal","absent","absent","absent"
"clonal","clonal","absent","absent","absent","clonal","clonal","clonal"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","subclonal"
"subclonal","subclonal","absent","absent","absent","subclonal","subclonal","absent"
"subclonal","subclonal","absent","absent","absent","subclonal","absent","clonal"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","clonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"clonal","clonal","clonal","subclonal","subclonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal","absent","subclonal"
"subclonal","subclonal","subclonal","subclonal","subclonal","clonal","clonal","subclonal"
"subclonal","subclonal","absent","absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"subclonal","clonal","clonal","clonal","clonal","subclonal","subclonal","subclonal"
"subclonal","subclonal","absent","absent","absent","subclonal","clonal","absent"
"clonal","clonal","absent","absent","subclonal","clonal","clonal","clonal"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","clonal","absent","absent","absent","absent","absent"
"subclonal","subclonal","absent","absent","absent","subclonal","subclonal","clonal"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","clonal","subclonal","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","clonal","absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent","subclonal","absent","clonal"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","clonal","absent","absent","absent","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"clonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","subclonal","absent","absent","absent","absent","subclonal","absent"
"subclonal","subclonal","absent","absent","absent","subclonal","absent","subclonal"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
