"CRUK0691_SU_T1.R1","CRUK0691_SU_T1.R2","CRUK0691_SU_T1.R3","CRUK0691_SU_T1.R4"
"clonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"clonal","clonal","clonal","clonal"
"absent","absent","absent","clonal"
"absent","subclonal","clonal","absent"
"absent","subclonal","clonal","absent"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"absent","subclonal","subclonal","absent"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"absent","absent","absent","subclonal"
