"CRUK0017_SU_T1.R1","CRUK0017_SU_T1.R2","CRUK0017_SU_T1.R3","CRUK0017_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"clonal","absent","absent","clonal"
"absent","clonal","clonal","subclonal"
"absent","clonal","clonal","subclonal"
"absent","clonal","clonal","subclonal"
"absent","clonal","absent","absent"
"absent","absent","clonal","subclonal"
"clonal","absent","absent","absent"
"clonal","absent","absent","subclonal"
"absent","clonal","clonal","clonal"
"absent","subclonal","clonal","subclonal"
"absent","clonal","clonal","absent"
"absent","absent","clonal","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","absent"
