"CRUK0733_SU_T1.R1","CRUK0733_SU_T1.R2","CRUK0733_SU_T1.R3","CRUK0733_SU_T1.R4","CRUK0733_SU_T1.R5","CRUK0733_SU_T1.R6"
"clonal","clonal","clonal","clonal","clonal","clonal"
"clonal","clonal","clonal","clonal","subclonal","subclonal"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent"
"clonal","subclonal","absent","absent","absent","subclonal"
"clonal","subclonal","absent","absent","subclonal","subclonal"
"absent","absent","absent","clonal","absent","absent"
"absent","subclonal","clonal","clonal","subclonal","absent"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal","subclonal"
