"CRUK0373_SU_T1.R1","CRUK0373_SU_T1.R2","CRUK0373_SU_T1.R3","CRUK0373_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent"
"absent","absent","clonal","absent"
"absent","absent","subclonal","absent"
"absent","absent","subclonal","absent"
"clonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"clonal","subclonal","absent","absent"
