"CRUK0361_SU_T1.R1","CRUK0361_SU_T1.R2","CRUK0361_SU_T1.R3","CRUK0361_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"subclonal","absent","absent","clonal"
"absent","clonal","absent","absent"
"absent","absent","subclonal","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"clonal","absent","absent","clonal"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","clonal","absent"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","subclonal"
"absent","clonal","subclonal","absent"
