"CRUK0303_SU_T1.R1","CRUK0303_SU_T1.R2","CRUK0303_SU_T1.R3","CRUK0303_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"clonal","clonal","absent","clonal"
"absent","absent","subclonal","absent"
"absent","absent","absent","subclonal"
"absent","clonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","absent","subclonal","absent"
"clonal","absent","absent","absent"
"absent","clonal","absent","subclonal"
"clonal","absent","absent","subclonal"
"clonal","clonal","subclonal","clonal"
"absent","absent","absent","subclonal"
"absent","absent","clonal","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","absent"
"clonal","subclonal","absent","subclonal"
