"CRUK0236_SU_T1.R5","CRUK0236_SU_T1.R6","CRUK0236_SU_T1.R1","CRUK0236_SU_T1.R2","CRUK0236_SU_T1.R3","CRUK0236_SU_T1.R4"
"clonal","clonal","clonal","clonal","clonal","clonal"
"clonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent","absent"
"clonal","absent","absent","clonal","absent","absent"
"absent","clonal","absent","absent","subclonal","subclonal"
"absent","absent","subclonal","absent","absent","absent"
"absent","clonal","absent","absent","subclonal","clonal"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","clonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","clonal","absent","subclonal"
"clonal","absent","clonal","clonal","absent","absent"
"clonal","clonal","clonal","clonal","clonal","absent"
"absent","clonal","absent","absent","subclonal","subclonal"
"absent","clonal","absent","absent","absent","subclonal"
