"CRUK0410_SU_T1.R1","CRUK0410_SU_T1.R2","CRUK0410_SU_T1.R3","CRUK0410_SU_T1.R4"
"absent","clonal","absent","absent"
"clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","subclonal"
"absent","absent","subclonal","absent"
"clonal","absent","subclonal","absent"
"clonal","absent","subclonal","subclonal"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"clonal","absent","subclonal","absent"
"absent","absent","absent","subclonal"
"clonal","absent","subclonal","subclonal"
"clonal","clonal","subclonal","subclonal"
"subclonal","absent","absent","absent"
