"CRUK0415_SU_T1.R1","CRUK0415_SU_T1.R2","CRUK0415_SU_T1.R3","CRUK0415_SU_T1.R4","CRUK0415_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","clonal","absent","absent","absent"
"absent","absent","subclonal","clonal","absent"
"subclonal","absent","absent","absent","clonal"
"clonal","subclonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","clonal","absent"
"absent","absent","subclonal","absent","absent"
"clonal","absent","clonal","clonal","clonal"
"subclonal","absent","absent","absent","clonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","subclonal","absent","clonal"
