"CRUK0352_SU_T1.R1","CRUK0352_SU_T1.R2","CRUK0352_SU_T1.R3","CRUK0352_SU_T1.R4","CRUK0352_SU_T1.R5","CRUK0352_SU_T1.R6","CRUK0352_SU_T1.R7"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","clonal","subclonal","clonal","subclonal"
"clonal","clonal","clonal","absent","subclonal","absent","absent"
"absent","absent","absent","clonal","subclonal","subclonal","subclonal"
"clonal","clonal","clonal","absent","subclonal","absent","subclonal"
"clonal","clonal","clonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","clonal","subclonal","clonal"
"subclonal","clonal","absent","absent","absent","absent","absent"
"subclonal","clonal","absent","absent","absent","absent","absent"
"clonal","absent","clonal","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent"
"subclonal","absent","subclonal","absent","absent","absent","absent"
"clonal","clonal","clonal","absent","absent","absent","subclonal"
"absent","absent","absent","clonal","absent","subclonal","subclonal"
"absent","absent","absent","subclonal","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"clonal","clonal","clonal","subclonal","subclonal","subclonal","absent"
"absent","absent","absent","clonal","absent","absent","absent"
"subclonal","clonal","subclonal","clonal","clonal","clonal","clonal"
"clonal","subclonal","subclonal","absent","subclonal","absent","absent"
"absent","clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
"subclonal","absent","subclonal","absent","absent","absent","absent"
"clonal","clonal","clonal","clonal","subclonal","subclonal","clonal"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal","absent","subclonal"
"absent","absent","absent","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"subclonal","clonal","subclonal","absent","absent","absent","absent"
"clonal","absent","subclonal","absent","absent","absent","absent"
