"CRUK0401_SU_T1.R1","CRUK0401_SU_T1.R2","CRUK0401_SU_T1.R3","CRUK0401_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"clonal","absent","clonal","clonal"
"clonal","absent","absent","absent"
"absent","absent","clonal","clonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"subclonal","absent","subclonal","subclonal"
"absent","absent","subclonal","subclonal"
"absent","absent","subclonal","absent"
"subclonal","subclonal","subclonal","subclonal"
"absent","absent","subclonal","subclonal"
"clonal","absent","subclonal","subclonal"
"subclonal","absent","clonal","clonal"
"subclonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","subclonal"
"absent","clonal","clonal","clonal"
"clonal","subclonal","absent","absent"
"absent","absent","absent","subclonal"
