"CRUK0567_SU_T1.R1","CRUK0567_SU_T1.R2","CRUK0567_SU_T1.R3","CRUK0567_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"clonal","clonal","absent","subclonal"
"clonal","clonal","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","clonal","subclonal"
"absent","absent","subclonal","subclonal"
"absent","absent","subclonal","absent"
"absent","absent","subclonal","absent"
"subclonal","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"clonal","clonal","clonal","subclonal"
"absent","subclonal","absent","absent"
"absent","subclonal","absent","absent"
