"CRUK0586_SU_T2.R1","CRUK0586_SU_T2.R2","CRUK0586_SU_T2.R3","CRUK0586_SU_T2.R4","CRUK0586_SU_T2.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal"
"clonal","clonal","absent","subclonal","absent"
"clonal","clonal","absent","subclonal","subclonal"
"clonal","absent","clonal","clonal","subclonal"
"absent","absent","absent","subclonal","absent"
"clonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","subclonal","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"clonal","clonal","absent","subclonal","clonal"
"absent","absent","subclonal","absent","subclonal"
"subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
