"CRUK0696_SU_T1.R1","CRUK0696_SU_T1.R2","CRUK0696_SU_T1.R3","CRUK0696_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent"
"absent","clonal","absent","absent"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","absent","absent","clonal"
"absent","absent","clonal","clonal"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"clonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"clonal","absent","clonal","clonal"
"clonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"absent","absent","clonal","absent"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","clonal"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
