"CRUK0463_SU_T1.R1","CRUK0463_SU_T1.R2","CRUK0463_SU_T1.R3","CRUK0463_SU_T1.R4","CRUK0463_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","clonal","clonal"
"clonal","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","clonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","clonal"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent"
"absent","subclonal","clonal","clonal","clonal"
"subclonal","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"clonal","subclonal","absent","absent","absent"
"subclonal","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","clonal","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","clonal","absent","absent"
"clonal","clonal","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent"
