"CRUK0527_SU_T1.R1","CRUK0527_SU_T1.R2","CRUK0527_SU_T1.R3","CRUK0527_SU_T1.R4","CRUK0527_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"clonal","absent","clonal","clonal","clonal"
"absent","absent","absent","clonal","absent"
"clonal","absent","absent","absent","absent"
"subclonal","clonal","clonal","clonal","clonal"
"clonal","clonal","absent","clonal","clonal"
"subclonal","clonal","subclonal","subclonal","subclonal"
"absent","subclonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","clonal","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent"
"clonal","absent","subclonal","clonal","clonal"
"absent","absent","absent","subclonal","absent"
"absent","clonal","clonal","absent","absent"
