"CRUK0590_SU_T1.R1","CRUK0590_SU_T1.R2","CRUK0590_SU_T1.R3","CRUK0590_SU_T1.R4","CRUK0590_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"clonal","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent"
"absent","clonal","subclonal","absent","clonal"
"subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"clonal","clonal","subclonal","clonal","clonal"
