"CRUK0717_SU_T1.R1","CRUK0717_SU_T1.R2","CRUK0717_SU_T1.R3","CRUK0717_SU_T1.R4","CRUK0717_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent"
"subclonal","clonal","clonal","clonal","clonal"
"absent","absent","clonal","absent","absent"
"absent","clonal","clonal","clonal","clonal"
"subclonal","clonal","absent","absent","absent"
"absent","clonal","absent","absent","absent"
"absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","subclonal"
"subclonal","clonal","absent","clonal","clonal"
"subclonal","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","subclonal"
"absent","clonal","absent","clonal","clonal"
"subclonal","clonal","subclonal","subclonal","clonal"
"subclonal","clonal","clonal","subclonal","subclonal"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","subclonal"
"absent","absent","subclonal","clonal","clonal"
"subclonal","absent","clonal","clonal","clonal"
