"CRUK0380_SU_T1.R1","CRUK0380_SU_T1.R2","CRUK0380_SU_T1.R3","CRUK0380_SU_T1.R4","CRUK0380_SU_T1.R5","CRUK0380_SU_T1.R6","CRUK0380_SU_T1.R7","CRUK0380_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"subclonal","subclonal","subclonal","subclonal","clonal","subclonal","subclonal","clonal"
"absent","subclonal","absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","clonal"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","clonal"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"subclonal","subclonal","subclonal","subclonal","clonal","absent","subclonal","clonal"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","clonal","absent","absent","absent"
"subclonal","absent","subclonal","absent","absent","absent","absent","absent"
"subclonal","absent","subclonal","absent","absent","absent","absent","absent"
"subclonal","absent","subclonal","absent","absent","absent","absent","absent"
"absent","subclonal","absent","subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","clonal","subclonal","absent","absent"
