"CRUK0032_SU_T1.R1","CRUK0032_SU_T1.R2","CRUK0032_SU_T1.R3","CRUK0032_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"clonal","absent","clonal","absent"
"absent","absent","absent","subclonal"
"absent","clonal","absent","clonal"
"absent","clonal","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","absent"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","subclonal"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"clonal","absent","subclonal","absent"
"absent","subclonal","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
