"CRUK0510_SU_T1.R1","CRUK0510_SU_T1.R2","CRUK0510_SU_T1.R3","CRUK0510_SU_T1.R4","CRUK0510_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","clonal"
"absent","absent","absent","subclonal","absent"
"absent","absent","clonal","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","clonal","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","clonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal"
"subclonal","clonal","absent","clonal","absent"
"absent","clonal","absent","clonal","absent"
"absent","absent","absent","absent","subclonal"
"subclonal","absent","absent","absent","clonal"
"subclonal","absent","clonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","clonal","absent","clonal"
"absent","absent","absent","absent","subclonal"
"absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","subclonal","absent"
"subclonal","clonal","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"clonal","clonal","clonal","clonal","absent"
"subclonal","absent","clonal","absent","clonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent"
"absent","clonal","absent","absent","absent"
