"CRUK0272_SU_T1.R1","CRUK0272_SU_T1.R2","CRUK0272_SU_T1.R3","CRUK0272_SU_T1.R4","CRUK0272_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","clonal"
"absent","absent","absent","absent","subclonal"
"clonal","clonal","absent","absent","absent"
"absent","absent","clonal","clonal","subclonal"
"absent","absent","subclonal","absent","absent"
"clonal","clonal","subclonal","absent","absent"
"clonal","clonal","clonal","subclonal","subclonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"clonal","clonal","clonal","clonal","absent"
"clonal","clonal","subclonal","subclonal","absent"
"absent","absent","absent","absent","subclonal"
"clonal","subclonal","absent","absent","absent"
