"CRUK0245_SU_LN1_cov","CRUK0245_SU_T1.R1_cov","CRUK0245_SU_T1.R2_cov","CRUK0245_SU_LN1_var_count","CRUK0245_SU_T1.R1_var_count","CRUK0245_SU_T1.R2_var_count","CRUK0245_SU_LN1_VAF","CRUK0245_SU_T1.R1_VAF","CRUK0245_SU_T1.R2_VAF","CRUK0245_SU_LN1_PhyloCCF","CRUK0245_SU_T1.R1_PhyloCCF","CRUK0245_SU_T1.R2_PhyloCCF","CRUK0245_SU_LN1_PycloneCCF","CRUK0245_SU_T1.R1_PycloneCCF","CRUK0245_SU_T1.R2_PycloneCCF","CRUK0245_SU_LN1_Pyclone_0.05","CRUK0245_SU_T1.R1_Pyclone_0.05","CRUK0245_SU_T1.R2_Pyclone_0.05","CRUK0245_SU_LN1_Pyclone_0.95","CRUK0245_SU_T1.R1_Pyclone_0.95","CRUK0245_SU_T1.R2_Pyclone_0.95","CRUK0245_SU_LN1_cpn.copies","CRUK0245_SU_T1.R1_cpn.copies","CRUK0245_SU_T1.R2_cpn.copies","CRUK0245_SU_LN1_mut.cpn.num","CRUK0245_SU_T1.R1_mut.cpn.num","CRUK0245_SU_T1.R2_mut.cpn.num","CRUK0245_SU_LN1_nAraw","CRUK0245_SU_T1.R1_nAraw","CRUK0245_SU_T1.R2_nAraw","CRUK0245_SU_LN1_nBraw","CRUK0245_SU_T1.R1_nBraw","CRUK0245_SU_T1.R2_nBraw","PycloneCluster"
267,247,216,128,128,83,0.47940074906367,0.518218623481781,0.384259259259259,1.08621435421985,1.16240452515268,0.951807442829906,1.08621435421985,1.16240452515268,0.951807442829906,1.08621435421985,1.16240452515268,0.951807442829906,1.08621435421985,1.16240452515268,0.951807442829906,1,1,1,1.10529210320972,1.16240452515268,0.951807442829906,1,1,1,1,1,1,1
444,355,296,191,148,113,0.43018018018018,0.416901408450704,0.381756756756757,0.978706006148213,0.96294165783368,1.02506946128878,0.978706006148213,0.96294165783368,1.02506946128878,0.978706006148213,0.96294165783368,1.02506946128878,0.978706006148213,0.96294165783368,1.02506946128878,1,1,1,1.06524064094112,1.04388662547581,1.02506946128878,1,1,1,1,1,1,1
276,255,163,112,103,58,0.405797101449275,0.403921568627451,0.355828220858896,1.0048616471796,1.00853720556701,0.955447771942327,1.0048616471796,1.00853720556701,0.955447771942327,1.0048616471796,1.00853720556701,0.955447771942327,1.0048616471796,1.00853720556701,0.955447771942327,1,1,1,1.0048616471796,1.00853720556701,0.955447771942327,1,1,1,1,1,1,1
155,143,126,71,49,56,0.458064516129032,0.342657342657343,0.444444444444444,1.04159000925718,0.855568767978807,1.12152347867525,1.04159000925718,0.855568767978807,1.12152347867525,1.04159000925718,0.855568767978807,1.12152347867525,1.04159000925718,0.855568767978807,1.12152347867525,1,1,1,1.13428967961587,0.855568767978807,1.19339453506973,1,1,1,1,1,1,1
698,647,535,17,0,1,0.0243553008595989,0,0.00186915887850467,0.0603967366336172,0,0,0.0603967366336172,0,0,0.0603967366336172,0,0,0.0603967366336172,0,0,1,1,1,0.0603967366336172,0,0.0050189489792652,1,1,1,1,1,1,3
188,213,122,90,93,51,0.478723404255319,0.436619718309859,0.418032786885246,1.08856612444843,1.00272030081885,1.05487556703267,1.08856612444843,1.00272030081885,1.05487556703267,1.08856612444843,1.00272030081885,1.05487556703267,1.08856612444843,1.00272030081885,1.05487556703267,1,1,1,1.18544658605344,1.09018003692154,1.12247559753485,1,1,1,1,1,1,1
412,397,289,90,81,55,0.218446601941748,0.204030226700252,0.190311418685121,0.840988921394152,0.809688789666854,0.801911305793388,0.840988921394152,0.809688789666854,0.801911305793388,0.840988921394152,0.809688789666854,0.801911305793388,0.840988921394152,0.809688789666854,0.801911305793388,1,1,1,0.840988921394152,0.809688789666854,0.801911305793388,1,1,1,1,1,1,1
436,439,308,159,154,94,0.364678899082569,0.350797266514806,0.305194805194805,0.903042032372822,0.875893050459267,0.819490078465088,0.903042032372822,0.875893050459267,0.819490078465088,0.903042032372822,0.875893050459267,0.819490078465088,0.903042032372822,0.875893050459267,0.819490078465088,1,1,1,0.903042032372822,0.875893050459267,0.819490078465088,1,1,1,1,1,1,1
546,496,382,226,201,153,0.413919413919414,0.405241935483871,0.400523560209424,1.02497465503131,1.01183398197889,1.01069229720931,1.02497465503131,1.01183398197889,1.01069229720931,1.02497465503131,1.01183398197889,1.01069229720931,1.02497465503131,1.01183398197889,1.01069229720931,1,1,1,1.02497465503131,1.01183398197889,1.07546091282134,1,1,1,1,1,1,1
234,185,128,79,75,41,0.337606837606838,0.405405405405405,0.3203125,0.83600440152259,1.01224214413378,0.860083170782674,0.83600440152259,1.01224214413378,0.860083170782674,0.83600440152259,1.01224214413378,0.860083170782674,0.83600440152259,1.01224214413378,0.860083170782674,1,1,1,0.83600440152259,1.01224214413378,0.860083170782674,1,1,1,1,1,1,1
