"CRUK0674_SU_T1.R1","CRUK0674_SU_T1.R2","CRUK0674_SU_T1.R3","CRUK0674_SU_T1.R4","CRUK0674_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","absent","subclonal"
"clonal","subclonal","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent"
"clonal","subclonal","clonal","clonal","clonal"
"clonal","subclonal","clonal","clonal","subclonal"
"absent","subclonal","subclonal","absent","absent"
"absent","absent","absent","subclonal","subclonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","subclonal","subclonal","subclonal"
"absent","subclonal","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","subclonal","subclonal"
"absent","subclonal","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"clonal","subclonal","absent","absent","absent"
"clonal","absent","absent","absent","absent"
"subclonal","subclonal","clonal","subclonal","subclonal"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","subclonal","subclonal","subclonal"
"absent","absent","absent","subclonal","subclonal"
