"CRUK0396_SU_T1.R1","CRUK0396_SU_T1.R2","CRUK0396_SU_T1.R3","CRUK0396_SU_T1.R4","CRUK0396_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","clonal","absent"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent"
"clonal","subclonal","clonal","clonal","clonal"
"absent","clonal","absent","absent","absent"
"clonal","absent","absent","absent","absent"
"absent","absent","subclonal","absent","clonal"
"subclonal","subclonal","clonal","clonal","subclonal"
"clonal","absent","absent","clonal","absent"
"absent","absent","absent","absent","subclonal"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"absent","clonal","clonal","absent","clonal"
"absent","absent","subclonal","absent","subclonal"
"subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent"
