"CRUK0024_SU_T1.R1","CRUK0024_SU_T1.R3","CRUK0024_SU_T1.R4","CRUK0024_SU_T1.R6"
"clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent"
"clonal","subclonal","clonal","absent"
"absent","absent","clonal","absent"
"subclonal","clonal","clonal","clonal"
"clonal","clonal","subclonal","subclonal"
"absent","subclonal","absent","absent"
"absent","absent","absent","clonal"
"absent","subclonal","absent","clonal"
"clonal","absent","absent","absent"
"subclonal","clonal","subclonal","absent"
"absent","subclonal","absent","absent"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
