"CRUK0644_SU_T1.R1","CRUK0644_SU_T1.R2","CRUK0644_SU_T1.R3","CRUK0644_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","subclonal","absent","absent"
"clonal","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","absent"
"absent","absent","clonal","subclonal"
"clonal","clonal","subclonal","subclonal"
"absent","absent","subclonal","subclonal"
"clonal","absent","absent","absent"
"subclonal","absent","absent","absent"
