"CRUK0311_SU_LN1","CRUK0311_SU_LN2","CRUK0311_SU_T1.R1","CRUK0311_SU_T1.R2","CRUK0311_SU_T1.R3","CRUK0311_SU_T1.R4"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent"
"clonal","absent","clonal","clonal","subclonal","clonal"
"absent","clonal","absent","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","clonal"
"clonal","absent","absent","absent","absent","absent"
"clonal","absent","absent","clonal","subclonal","clonal"
"absent","absent","absent","clonal","absent","clonal"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"clonal","clonal","clonal","subclonal","subclonal","clonal"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","clonal","absent","subclonal","absent"
"absent","absent","absent","clonal","absent","absent"
"absent","absent","absent","absent","clonal","absent"
"absent","absent","clonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
