"CRUK0666_SU_T1.R1","CRUK0666_SU_T1.R2","CRUK0666_SU_T1.R3","CRUK0666_SU_T1.R4","CRUK0666_SU_T1.R5","CRUK0666_SU_T1.R6"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","subclonal","absent","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent"
"absent","absent","clonal","absent","subclonal","absent"
"clonal","absent","absent","absent","absent","clonal"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal","absent"
"absent","absent","clonal","absent","absent","absent"
"absent","absent","clonal","subclonal","subclonal","absent"
"clonal","absent","absent","absent","absent","subclonal"
"clonal","absent","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","subclonal","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","clonal","subclonal","subclonal","absent"
