"CRUK0451_SU_T1.R1","CRUK0451_SU_T1.R2","CRUK0451_SU_T1.R3","CRUK0451_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal"
"absent","absent","clonal","absent"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"absent","clonal","absent","absent"
"subclonal","clonal","absent","clonal"
"subclonal","clonal","absent","clonal"
"absent","absent","absent","clonal"
