"CRUK0071_SU_T1.R1","CRUK0071_SU_T1.R2","CRUK0071_SU_T1.R3","CRUK0071_SU_T1.R5","CRUK0071_SU_T1.R6","CRUK0071_SU_T1.R7"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","clonal"
"clonal","clonal","clonal","clonal","clonal","absent"
"absent","absent","clonal","subclonal","absent","absent"
"absent","absent","absent","absent","clonal","absent"
"clonal","clonal","absent","subclonal","clonal","absent"
"clonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"clonal","clonal","absent","subclonal","clonal","clonal"
"absent","subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal"
