"CRUK0005_SU_T1.R1","CRUK0005_SU_T1.R2","CRUK0005_SU_T1.R3","CRUK0005_SU_T1.R4"
"absent","absent","subclonal","absent"
"clonal","clonal","clonal","clonal"
"subclonal","clonal","subclonal","clonal"
"clonal","clonal","subclonal","clonal"
"absent","absent","absent","subclonal"
"absent","absent","clonal","absent"
"clonal","subclonal","subclonal","clonal"
"absent","subclonal","absent","absent"
"subclonal","clonal","subclonal","subclonal"
"subclonal","absent","absent","absent"
"subclonal","subclonal","subclonal","clonal"
"absent","subclonal","subclonal","absent"
"subclonal","clonal","subclonal","absent"
"absent","clonal","absent","absent"
"clonal","clonal","absent","clonal"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","subclonal"
"subclonal","absent","subclonal","subclonal"
"absent","absent","absent","subclonal"
"subclonal","subclonal","subclonal","subclonal"
"absent","clonal","subclonal","subclonal"
"subclonal","subclonal","absent","absent"
