"CRUK0588_SU_T1.R1","CRUK0588_SU_T1.R2","CRUK0588_SU_T1.R3","CRUK0588_SU_T1.R4","CRUK0588_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent"
"clonal","subclonal","clonal","absent","subclonal"
"absent","absent","absent","clonal","subclonal"
"absent","absent","absent","clonal","absent"
"clonal","subclonal","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","clonal","subclonal"
"clonal","subclonal","absent","absent","absent"
"clonal","absent","absent","absent","absent"
