"CRUK0512_SU_T1.R1","CRUK0512_SU_T1.R2","CRUK0512_SU_T1.R3","CRUK0512_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"clonal","clonal","clonal","absent"
"absent","absent","absent","clonal"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"absent","absent","clonal","absent"
"absent","absent","subclonal","absent"
"subclonal","absent","absent","absent"
"clonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"absent","clonal","clonal","absent"
"absent","clonal","absent","absent"
"absent","absent","absent","subclonal"
"clonal","subclonal","subclonal","absent"
"subclonal","absent","absent","absent"
