"CRUK0270_SU_T1.R1","CRUK0270_SU_T1.R2","CRUK0270_SU_T1.R3","CRUK0270_SU_T1.R4","CRUK0270_SU_T1.R6","CRUK0270_SU_T1.R7","CRUK0270_SU_T1.R5","CRUK0270_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","subclonal","absent","absent","absent","absent"
"clonal","absent","clonal","clonal","clonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"clonal","absent","absent","clonal","absent","absent","absent","absent"
"clonal","absent","absent","clonal","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","clonal","subclonal","subclonal"
"absent","absent","clonal","absent","subclonal","absent","absent","absent"
"clonal","absent","absent","clonal","subclonal","absent","absent","absent"
"clonal","absent","absent","clonal","subclonal","absent","absent","absent"
"absent","clonal","absent","absent","absent","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","clonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","subclonal"
"subclonal","subclonal","subclonal","subclonal","subclonal","clonal","subclonal","subclonal"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent","subclonal","subclonal"
"absent","clonal","absent","absent","absent","absent","subclonal","subclonal"
