"CRUK0134_SU_T1.R1","CRUK0134_SU_T1.R2","CRUK0134_SU_T1.R3","CRUK0134_SU_T1.R4","CRUK0134_SU_T1.R5","CRUK0134_SU_T1.R6"
"clonal","clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent","subclonal"
"subclonal","absent","absent","subclonal","absent","subclonal"
"subclonal","absent","absent","absent","absent","absent"
"subclonal","absent","clonal","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent","subclonal"
"subclonal","absent","clonal","absent","absent","absent"
"absent","clonal","absent","subclonal","subclonal","subclonal"
"absent","subclonal","absent","absent","subclonal","absent"
"absent","absent","clonal","absent","absent","absent"
