"CRUK0761_SU_T1.R1","CRUK0761_SU_T1.R2","CRUK0761_SU_T1.R3","CRUK0761_SU_T1.R4"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","absent","subclonal","clonal"
"clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"clonal","clonal","absent","absent"
"absent","absent","absent","clonal"
"clonal","absent","absent","absent"
"clonal","clonal","subclonal","clonal"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"absent","absent","subclonal","clonal"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
