"CRUK0062_SU_T1.R1","CRUK0062_SU_T1.R2","CRUK0062_SU_T1.R3","CRUK0062_SU_T1.R4","CRUK0062_SU_T1.R5","CRUK0062_SU_T1.R6","CRUK0062_SU_T1.R7"
"absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","clonal"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","clonal","absent","absent"
"subclonal","subclonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","clonal","absent"
"absent","absent","subclonal","subclonal","clonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"clonal","clonal","subclonal","absent","absent","subclonal","clonal"
"clonal","clonal","subclonal","absent","absent","clonal","clonal"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent","absent","absent"
"clonal","clonal","subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"clonal","clonal","clonal","clonal","clonal","subclonal","clonal"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","clonal","clonal","clonal","clonal","absent"
"clonal","clonal","absent","absent","absent","clonal","clonal"
"clonal","clonal","subclonal","absent","absent","absent","clonal"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent"
"clonal","clonal","subclonal","subclonal","absent","clonal","clonal"
"clonal","clonal","absent","absent","absent","subclonal","clonal"
"absent","subclonal","absent","absent","absent","absent","clonal"
