"CRUK0557_SU_T1.R1","CRUK0557_SU_T1.R2","CRUK0557_SU_T1.R3","CRUK0557_SU_T1.R4","CRUK0557_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","clonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"clonal","clonal","clonal","clonal","absent"
"absent","absent","absent","absent","subclonal"
"subclonal","absent","subclonal","absent","absent"
"subclonal","clonal","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent"
"subclonal","clonal","subclonal","subclonal","absent"
"subclonal","clonal","clonal","subclonal","clonal"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent"
"subclonal","clonal","absent","subclonal","absent"
"subclonal","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent"
"subclonal","absent","subclonal","subclonal","absent"
