"CRUK0553_SU_T1.R1","CRUK0553_SU_T1.R2","CRUK0553_SU_T1.R3","CRUK0553_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","clonal","clonal","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","clonal","absent"
"absent","absent","subclonal","absent"
"clonal","absent","absent","subclonal"
"clonal","absent","absent","subclonal"
"clonal","absent","absent","subclonal"
"absent","clonal","clonal","subclonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","subclonal"
"subclonal","absent","absent","subclonal"
