"CRUK0274_SU_T1.R1","CRUK0274_SU_T1.R2","CRUK0274_SU_T1.R3","CRUK0274_SU_T1.R4"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"clonal","clonal","clonal","clonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","subclonal","subclonal","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","subclonal","subclonal"
"absent","subclonal","absent","absent"
"clonal","absent","clonal","subclonal"
"clonal","absent","absent","absent"
"absent","subclonal","subclonal","absent"
"absent","absent","clonal","subclonal"
"absent","absent","clonal","absent"
"absent","absent","subclonal","subclonal"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","subclonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"absent","clonal","subclonal","subclonal"
"absent","absent","subclonal","clonal"
"absent","absent","subclonal","absent"
