"CRUK0068_SU_T1.R1","CRUK0068_SU_T1.R2","CRUK0068_SU_T1.R3","CRUK0068_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","subclonal","absent","subclonal"
"clonal","subclonal","clonal","absent"
"subclonal","absent","absent","absent"
"clonal","subclonal","clonal","subclonal"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","clonal"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"clonal","subclonal","subclonal","subclonal"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","subclonal"
"clonal","absent","clonal","absent"
"subclonal","subclonal","clonal","subclonal"
"subclonal","absent","clonal","absent"
"absent","clonal","absent","clonal"
"subclonal","absent","subclonal","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","clonal"
