"CRUK0009_SU_T1.R1","CRUK0009_SU_T1.R2","CRUK0009_SU_T1.R3","CRUK0009_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","clonal","absent","subclonal"
"absent","absent","subclonal","absent"
"clonal","absent","clonal","absent"
"absent","clonal","absent","subclonal"
"clonal","absent","absent","absent"
"clonal","absent","subclonal","absent"
"absent","subclonal","absent","subclonal"
"absent","absent","absent","subclonal"
"clonal","absent","subclonal","absent"
"clonal","absent","clonal","subclonal"
"absent","subclonal","absent","subclonal"
"subclonal","absent","absent","absent"
