"CRUK0794_SU_T1.R1","CRUK0794_SU_T1.R2","CRUK0794_SU_T1.R3","CRUK0794_SU_T1.R4","CRUK0794_SU_T1.R5"
"absent","absent","absent","absent","subclonal"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","clonal"
"subclonal","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent"
"clonal","subclonal","clonal","subclonal","clonal"
"subclonal","clonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent"
"subclonal","absent","subclonal","subclonal","absent"
"subclonal","absent","subclonal","clonal","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","clonal","subclonal","absent","absent"
"subclonal","absent","absent","absent","clonal"
"subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent"
