"CRUK0065_SU_T1.R1","CRUK0065_SU_T1.R2","CRUK0065_SU_T1.R3","CRUK0065_SU_T1.R4","CRUK0065_SU_T1.R5","CRUK0065_SU_T1.R6","CRUK0065_SU_T1.R7"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","subclonal","subclonal","clonal","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"clonal","clonal","subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","subclonal","subclonal","absent","absent"
"absent","absent","absent","absent","absent","clonal","absent"
"clonal","clonal","subclonal","clonal","subclonal","clonal","clonal"
"absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","subclonal","subclonal","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent"
"clonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","subclonal","clonal","absent"
"absent","absent","subclonal","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"clonal","clonal","subclonal","subclonal","subclonal","clonal","absent"
"clonal","clonal","clonal","subclonal","clonal","clonal","clonal"
"clonal","clonal","subclonal","subclonal","subclonal","clonal","subclonal"
"absent","absent","subclonal","subclonal","subclonal","absent","absent"
"absent","absent","absent","subclonal","subclonal","absent","absent"
"clonal","clonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","subclonal","subclonal","clonal","absent"
"absent","clonal","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","clonal","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","subclonal","subclonal","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
