"CRUK0423_SU_T1.R1","CRUK0423_SU_T1.R2","CRUK0423_SU_T1.R3","CRUK0423_SU_T1.R4","CRUK0423_SU_T1.R5"
"absent","clonal","absent","absent","absent"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","clonal"
"absent","absent","clonal","absent","absent"
"subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent"
"absent","absent","absent","clonal","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent"
"clonal","clonal","clonal","clonal","absent"
"subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"subclonal","clonal","absent","absent","absent"
"subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent"
