"CRUK0419_SU_T1.R1","CRUK0419_SU_T1.R2","CRUK0419_SU_T1.R3","CRUK0419_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"clonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"absent","clonal","clonal","subclonal"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"absent","subclonal","clonal","absent"
"absent","subclonal","absent","absent"
"absent","clonal","clonal","subclonal"
"absent","clonal","absent","subclonal"
"absent","subclonal","subclonal","absent"
"absent","clonal","absent","absent"
"clonal","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"subclonal","clonal","clonal","subclonal"
"absent","subclonal","absent","absent"
"clonal","subclonal","absent","clonal"
