"CRUK0519_SU_T1.R1","CRUK0519_SU_T1.R2","CRUK0519_SU_T1.R3","CRUK0519_SU_T2.R1","CRUK0519_SU_T2.R2"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","clonal","clonal"
"absent","clonal","absent","absent","absent"
"absent","clonal","subclonal","clonal","clonal"
"clonal","subclonal","clonal","absent","absent"
"clonal","clonal","clonal","absent","absent"
"subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","clonal","clonal"
"absent","clonal","absent","clonal","clonal"
"absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"absent","absent","absent","clonal","subclonal"
"absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent"
"clonal","clonal","clonal","subclonal","subclonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","clonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"subclonal","subclonal","absent","absent","absent"
"clonal","subclonal","subclonal","absent","absent"
"clonal","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent"
"subclonal","subclonal","clonal","absent","absent"
"absent","absent","absent","subclonal","subclonal"
"clonal","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent"
