"CRUK0394_SU_T1.R1","CRUK0394_SU_T1.R2","CRUK0394_SU_T1.R3","CRUK0394_SU_T1.R4","CRUK0394_SU_T1.R5","CRUK0394_SU_T1.R6","CRUK0394_SU_T1.R7"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","clonal","subclonal","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","subclonal","clonal"
"absent","absent","absent","subclonal","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","clonal","absent","subclonal","absent","absent"
"clonal","clonal","subclonal","subclonal","subclonal","clonal","clonal"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","clonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent"
