"CRUK0495_SU_T1.R1","CRUK0495_SU_T1.R2","CRUK0495_SU_T1.R3","CRUK0495_SU_T1.R4","CRUK0495_SU_T1.R6","CRUK0495_SU_T2.R1","CRUK0495_SU_T2.R2","CRUK0495_SU_T3.R2"
"absent","absent","absent","subclonal","clonal","absent","absent","absent"
"clonal","clonal","clonal","subclonal","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","subclonal","subclonal","absent"
"absent","absent","absent","absent","absent","clonal","clonal","clonal"
"absent","absent","absent","absent","clonal","absent","absent","absent"
"absent","absent","absent","absent","absent","clonal","clonal","subclonal"
"clonal","clonal","clonal","subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"clonal","clonal","clonal","clonal","clonal","absent","subclonal","absent"
"absent","absent","clonal","subclonal","absent","absent","absent","absent"
"subclonal","subclonal","absent","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"clonal","clonal","clonal","subclonal","absent","subclonal","subclonal","absent"
"clonal","clonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","subclonal","subclonal","subclonal"
"subclonal","clonal","subclonal","clonal","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","subclonal","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","clonal","subclonal","absent","absent","absent","absent"
"absent","absent","clonal","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","absent","clonal"
