"CRUK0241_SU_T1.R1","CRUK0241_SU_T1.R2","CRUK0241_SU_T1.R3","CRUK0241_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal"
"absent","clonal","absent","absent"
"clonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","clonal","subclonal"
"absent","absent","absent","subclonal"
"clonal","clonal","clonal","subclonal"
"absent","absent","clonal","subclonal"
"clonal","clonal","absent","absent"
"absent","clonal","clonal","subclonal"
"clonal","clonal","absent","subclonal"
"absent","absent","absent","clonal"
"absent","clonal","clonal","clonal"
"absent","absent","clonal","clonal"
"absent","absent","subclonal","absent"
"absent","absent","clonal","absent"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"subclonal","absent","clonal","clonal"
