"CRUK0640_SU_T1.R1","CRUK0640_SU_T1.R2","CRUK0640_SU_T1.R3","CRUK0640_SU_T1.R5","CRUK0640_SU_T1.R6","CRUK0640_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","clonal","absent","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","clonal","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent","absent"
"clonal","absent","absent","absent","absent","absent"
"clonal","subclonal","clonal","clonal","subclonal","subclonal"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","subclonal","clonal","absent","absent"
"absent","absent","subclonal","absent","absent","absent"
"absent","clonal","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","absent","subclonal","subclonal"
"absent","absent","subclonal","absent","absent","absent"
"absent","subclonal","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","subclonal","absent"
"absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","clonal","absent"
"absent","absent","absent","absent","subclonal","subclonal"
