"CRUK0682_SU_T1.R1","CRUK0682_SU_T1.R2","CRUK0682_SU_T1.R3","CRUK0682_SU_T1.R4","CRUK0682_SU_T1.R5","CRUK0682_SU_T1.R6"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","subclonal","clonal","absent","clonal","clonal"
"absent","absent","clonal","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","clonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","clonal","clonal"
"clonal","subclonal","absent","clonal","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","subclonal"
"clonal","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent"
"subclonal","absent","absent","absent","absent","absent"
"clonal","clonal","clonal","absent","clonal","clonal"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","clonal","subclonal"
"absent","absent","clonal","absent","clonal","clonal"
"clonal","subclonal","absent","absent","absent","absent"
