"CRUK0693_SU_T1.R1","CRUK0693_SU_T1.R2","CRUK0693_SU_T1.R3","CRUK0693_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"clonal","clonal","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","absent","clonal","absent"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"absent","absent","subclonal","absent"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"clonal","subclonal","absent","absent"
"subclonal","subclonal","subclonal","subclonal"
"absent","subclonal","absent","subclonal"
