"CRUK0173_SU_T1.R1","CRUK0173_SU_T1.R2","CRUK0173_SU_T1.R3","CRUK0173_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","clonal","absent"
"clonal","clonal","absent","clonal"
"clonal","absent","absent","clonal"
"absent","clonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"subclonal","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"clonal","absent","absent","absent"
"clonal","absent","absent","subclonal"
