"CRUK0533_SU_T1.R1","CRUK0533_SU_T1.R2","CRUK0533_SU_T1.R3","CRUK0533_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","clonal","absent"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","absent","subclonal"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","absent","absent","clonal"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"subclonal","clonal","absent","absent"
"absent","absent","absent","subclonal"
"clonal","subclonal","clonal","clonal"
"subclonal","clonal","clonal","absent"
"clonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","subclonal","absent"
"absent","absent","subclonal","absent"
"subclonal","subclonal","absent","absent"
"absent","subclonal","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"clonal","clonal","absent","clonal"
"absent","absent","absent","subclonal"
"absent","clonal","absent","absent"
"subclonal","absent","absent","clonal"
