"CRUK0402_SU_T1.R1","CRUK0402_SU_T1.R2","CRUK0402_SU_T1.R3","CRUK0402_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent"
"absent","absent","absent","clonal"
"subclonal","absent","absent","absent"
"clonal","absent","absent","absent"
"absent","clonal","subclonal","absent"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"subclonal","subclonal","subclonal","clonal"
"subclonal","absent","absent","absent"
"clonal","clonal","subclonal","clonal"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"absent","clonal","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"absent","clonal","subclonal","absent"
