"CRUK0085_SU_T1.R1","CRUK0085_SU_T1.R2","CRUK0085_SU_T1.R3","CRUK0085_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","absent","clonal","absent"
"absent","absent","subclonal","absent"
"absent","subclonal","absent","absent"
"absent","subclonal","absent","clonal"
"absent","absent","absent","subclonal"
"subclonal","absent","absent","absent"
"absent","clonal","clonal","clonal"
"absent","absent","clonal","clonal"
"absent","subclonal","clonal","absent"
"absent","subclonal","absent","absent"
"absent","subclonal","absent","absent"
