"CRUK0412_SU_T1.R1","CRUK0412_SU_T1.R2","CRUK0412_SU_T1.R3","CRUK0412_SU_T1.R4","CRUK0412_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal","subclonal"
"subclonal","subclonal","subclonal","absent","absent"
"absent","absent","absent","absent","clonal"
"clonal","clonal","clonal","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","clonal","subclonal"
