"CRUK0680_SU_T1.R1","CRUK0680_SU_T1.R2","CRUK0680_SU_T1.R3","CRUK0680_SU_T1.R4","CRUK0680_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent"
"absent","clonal","clonal","subclonal","clonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"absent","clonal","absent","absent","subclonal"
"absent","absent","clonal","subclonal","absent"
"absent","absent","clonal","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"clonal","subclonal","absent","subclonal","absent"
"absent","subclonal","absent","absent","absent"
"absent","clonal","clonal","subclonal","clonal"
"subclonal","clonal","clonal","subclonal","clonal"
"absent","subclonal","absent","absent","absent"
"absent","clonal","absent","absent","absent"
