"CRUK0096_SU_T1.R1","CRUK0096_SU_T1.R2","CRUK0096_SU_T1.R3","CRUK0096_SU_T1.R4","CRUK0096_SU_T1.R5","CRUK0096_SU_T1.R6","CRUK0096_SU_T1.R7"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","clonal","absent","subclonal"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","clonal","absent","subclonal"
"subclonal","subclonal","subclonal","clonal","absent","clonal","subclonal"
"absent","absent","absent","subclonal","absent","clonal","absent"
"subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","clonal","absent"
"absent","subclonal","subclonal","absent","absent","absent","absent"
"clonal","subclonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","absent","subclonal"
