"CRUK0384_SU_T1.R1","CRUK0384_SU_T1.R2","CRUK0384_SU_T1.R3","CRUK0384_SU_T1.R4"
"clonal","clonal","clonal","clonal"
"absent","clonal","subclonal","absent"
"clonal","absent","subclonal","absent"
"clonal","absent","absent","absent"
"absent","absent","absent","clonal"
"absent","clonal","absent","absent"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"clonal","absent","clonal","absent"
"absent","clonal","subclonal","subclonal"
"absent","subclonal","absent","absent"
"subclonal","absent","absent","absent"
"absent","absent","absent","subclonal"
"clonal","clonal","clonal","absent"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"absent","clonal","absent","subclonal"
"subclonal","absent","subclonal","absent"
"clonal","absent","subclonal","clonal"
"clonal","clonal","clonal","subclonal"
"clonal","absent","subclonal","absent"
